"date","alabama.unemployment","amazing.sonic.scene.creator.2","annual.convention","arizona.unemployment.rate","arkansas.unemployment","auction","bible.lessons","big.fun.town","birthday.party.invitations","blonde.scene","bridal.bouquets","business.cards","business.in","business.services","ca.unemployment.rate","ca.unemployment","california.unemployment.rate","canadian.unemployment.rate","chase.loan.modification","chinese.movies.online","christening.gowns","clinical.laboratory","co.unemployment","college.community","colorado.unemployment","combofix","community.centers","community.education","community.learning","community","confidentiality.agreement","consultant.resume","ct.unemployment","current.national.unemployment.rate","current.unemployment.rate","current.unemployment","day.school","department.of.labor.unemployment","design.resume","designer.resume","development.center","divorce.mediation","download.streaming.video.free","education.center","effective.resume","emory.first.class.login","failblog","fictitious.business","finding.a.job","florida.unemployment.rate","florida.unemployment","free.tower.defense.games","free.video.tube","functional.resume","ga.unemployment","gmac.loan.modification","grants.wiki","graph.of.unemployment","graphic.design.resume","graphic.designer.resume","green.energy.jobs","grocery.prices.online","hawaii.unemployment.rate","hbo.movies.online","health.education.center","help.for.the.unemployed","high.school.district","highest.unemployment.rate","highest.unemployment","home.loan.modification","home.retention","how.long.is.unemployment.benefits","how.to.get.a.loan.modification","il.unemployment","illinois.unemployment.benefits","illinois.unemployment","independent.schools","indiana.unemployment.rate","indiana.unemployment","iphone.app.tutorial","job.websites","jobless.claims","jobless.rate","jobless","jobs.in.demand","juried","kisses.movie","ks.unemployment","ky.unemployment","labor.department.unemployment","language.center","lawyers","legal.services","length.of.unemployment.benefits","length.of.unemployment","loan.modification.laws","love.story.chords","maine.unemployment.rate","marketing.resume","maryland.unemployment.rate","massachusetts.unemployment.rate","mediation.training","medical.training","mi.unemployment.rate","midnighters.series","mint.com","missouri.unemployment.rate","missouri.unemployment","modified.mortgage","money.supply.chart","montelucia.resort","montgomery.county.community.college","monthly.unemployment.rate","my.gatech","national.unemployment.rate","need4","nevada.unemployment.rate","new.york.unemployment.rate","north.carolina.unemployment.rate","number.of.people.unemployed","nursing.society","ny.ui","ny.unemployment","nys.ui","nys.unemployment","obama.campaign.promises","occasion.dresses","ohio.unemployment.rate","ohio.unemployment","oncology.nursing","online.resume","pa.unemployment.rate","pa.unemployment","paralegal","pennsylvania.unemployment.rate","private.schools.in","promotional.products","pspube","recession.recovery","resume.career","resume.writers","resume","retreat.house","ri.unemployment.rate","roast.restaurant.detroit","sample.resume","san.diego.unemployment.rate","sc.unemployment.rate","schools.on.long.island","services","showgirlzexclusive","skills.test","south.carolina.unemployment.rate","state.by.state.unemployment","state.unemployment","state.with.highest.unemployment","states.with.highest.unemployment","submit.your","technology.center","tennessee.unemployment.rate","tennessee.unemployment","the.unemployed","therapy.training","tn.unemployment","toastmasters","total.unemployment","training.center","ui.benefits","umail.iu.edu","unemp","unemploy","unemployed.benefits","unemployed.workers","unemployed","unemployment.benefit.ny","unemployment.benefit","unemployment.benefits.maryland","unemployment.benefits.massachusetts","unemployment.benefits.pennsylvania","unemployment.benefits","unemployment.blog","unemployment.by.state","unemployment.chart","unemployment.check","unemployment.in.california","unemployment.in","unemployment.insurance.benefits","unemployment.online","unemployment.payments","unemployment.percentage","unemployment.rate.california","unemployment.rate.chart","unemployment.rate.florida","unemployment.rate.forecast","unemployment.rate.in.california","unemployment.rate.in.canada","unemployment.rate.in.new.york","unemployment.rate.in.ohio","unemployment.rate.in.the.us","unemployment.rate.in","unemployment.rate.state","unemployment.rate","unemployment.rates.by.state","unemployment.rates.by.year","unemployment.rates.in.us","unemployment.trend","unemployment","unemployments","university.job","us.jobless.rate","us.unemployment.benefits","us.unemployment.rate.history","us.unemployment.rate","us.unemployment","utah.unemployment.rate","va.unemployment","virginia.unemployment.rate","vocational.school","wa.state.unemployment","washington.state.unemployment.rate","washington.unemployment.rate","weddings","wells.fargo.financial.locations","what.caused.the.recession","wisconsin.unemployment","writing.a.cover.letter","www.unemployment.wisconsin.gov","youth.bible.study"
"2005-10-01",18,0,54,20,11,76,68,0,60,18,57,84,79,67,13,19,15,0,0,0,72,69,12,68,27,"0",75,61,79,80,66,58,8,29,21,28,36,43,59,40,82,55,12,73,24,0,0,68,76,9,20,0,2,83,8,0,0,48,52,54,16,56,0,0,62,0,87,20,16,2,13,0,0,16,29,29,57,18,15,0,43,10,7,18,22,77,19,39,7,50,78,82,59,47,23,0,0,0,64,41,29,48,69,0,73,1,40,16,31,0,9,64,0,26,26,0,53,8,0,56,62,16,13,43,9,0,63,10,13,39,55,0,11,85,81,73,68,0,19,52,48,84,76,0,0,83,0,0,62,85,0,76,33,5,31,0,0,11,73,0,16,17,66,12,76,27,74,9,0,13,9,21,22,31,0,18,46,13,28,9,15,6,12,13,23,24,8,11,19,29,6,0,9,58,0,16,0,0,17,31,7,29,9,0,25,51,19,17,62,0,26,24,33,27,0,31,20,77,9,25,0,66,26,0,13,55,0,59
"2005-11-01",7,0,47,20,33,77,49,27,67,12,49,85,82,63,27,17,25,59,0,12,37,79,26,73,19,"0",65,65,56,83,66,52,10,0,25,31,32,50,47,49,78,55,25,72,30,0,0,52,32,22,23,0,0,71,0,0,0,25,57,22,8,83,0,0,37,0,75,25,19,2,18,0,0,10,10,32,68,19,14,0,38,8,7,19,27,60,70,6,11,51,54,78,54,0,0,0,5,0,66,43,61,33,63,85,0,2,61,18,0,32,0,55,78,0,29,0,0,29,0,39,55,17,13,0,10,0,51,0,13,57,46,0,18,71,21,67,54,0,0,66,52,75,66,0,45,70,0,32,53,81,0,63,0,11,32,0,76,14,69,31,6,29,61,4,58,14,66,19,0,13,14,0,45,34,23,18,29,33,98,9,15,7,15,5,10,23,13,9,14,38,0,12,22,20,23,16,0,0,35,21,18,30,0,0,17,0,20,0,67,0,13,25,23,32,34,24,0,83,34,39,44,57,0,0,16,67,0,60
"2005-12-01",9,0,50,19,36,69,40,0,38,6,41,71,66,67,13,16,9,0,0,23,35,52,16,70,26,"0",56,57,44,77,85,49,9,0,21,19,31,39,48,54,63,39,28,57,24,0,0,47,48,17,17,0,2,43,13,0,0,24,38,27,24,39,0,14,48,0,68,29,13,0,9,0,0,15,9,24,62,0,14,0,41,8,13,16,14,70,57,0,13,37,50,71,51,0,23,0,0,0,26,27,0,21,57,27,0,3,0,22,0,0,0,61,73,0,45,0,0,12,0,37,58,16,18,0,13,0,30,10,16,49,45,17,17,65,0,63,51,0,38,49,26,63,54,0,0,57,0,31,50,77,0,40,0,4,35,0,0,20,53,0,15,20,52,4,51,13,49,9,0,13,28,15,14,25,22,12,18,0,37,10,0,3,12,11,22,22,18,13,5,14,5,17,17,19,22,15,0,38,25,24,14,23,9,0,49,38,19,0,63,47,13,35,38,28,0,27,0,75,23,0,11,55,0,0,15,49,0,13
"2006-01-01",13,0,51,52,28,87,76,0,91,5,93,84,78,76,17,19,8,50,0,21,58,73,33,86,26,"0",75,77,72,93,73,65,8,0,19,28,46,58,60,46,82,43,18,77,47,0,0,59,73,15,22,0,3,67,23,0,0,43,51,38,11,14,43,39,51,0,80,9,10,0,15,0,0,24,36,39,84,16,24,0,52,11,24,17,15,68,8,5,27,65,68,84,66,0,21,0,5,47,53,24,26,51,77,0,0,1,35,27,0,0,0,67,0,0,23,0,24,21,21,33,56,14,22,13,14,0,80,9,19,81,58,45,23,89,0,85,66,0,17,74,66,95,80,0,0,88,44,55,99,88,0,67,29,4,43,0,0,15,61,52,21,23,75,10,72,0,86,39,0,0,41,36,25,31,19,20,24,11,50,13,0,1,10,11,24,29,20,9,20,32,5,20,15,0,19,0,27,0,44,17,17,24,16,0,29,45,23,0,81,0,0,42,29,25,0,27,0,91,20,22,0,89,23,0,18,71,0,68
"2006-02-01",10,0,71,18,19,83,74,0,64,5,69,86,83,69,12,14,5,52,0,21,86,60,19,69,23,"0",60,64,66,80,63,91,14,0,27,30,45,38,53,61,76,44,22,68,26,0,0,69,73,12,20,0,3,77,7,0,31,55,53,59,7,0,44,0,83,0,84,36,8,2,16,0,0,21,20,30,57,16,15,0,49,9,12,15,35,70,9,5,10,40,60,82,62,57,21,0,0,49,52,0,18,44,68,25,0,1,36,20,0,57,0,45,0,0,19,0,0,15,0,0,53,0,13,26,10,0,65,28,18,43,33,23,16,86,37,79,70,0,18,79,73,84,85,0,0,84,45,28,67,86,0,70,0,7,39,32,0,18,72,0,13,14,75,7,70,49,82,8,0,0,8,19,0,24,0,21,51,12,34,10,13,1,8,8,20,24,25,7,8,33,0,16,12,17,0,14,42,0,15,21,16,30,8,0,0,35,20,0,79,44,0,22,34,31,30,13,36,72,17,68,29,77,0,0,14,71,0,83
"2006-03-01",8,0,79,0,30,83,79,0,86,9,56,87,80,77,0,22,22,91,0,14,54,66,30,74,22,"0",66,68,49,85,74,68,8,23,21,33,39,44,57,44,84,40,26,72,43,0,0,56,64,10,15,0,9,70,23,0,0,77,49,30,6,32,39,12,60,0,83,0,9,0,28,0,0,17,13,25,65,14,12,0,46,17,0,16,19,62,15,22,17,48,69,83,71,0,0,0,0,43,65,22,23,30,74,22,58,2,31,19,0,0,0,69,60,20,35,0,0,13,58,30,76,20,13,12,11,0,87,16,14,53,59,14,17,79,32,87,61,0,15,67,64,88,84,0,0,83,0,25,54,87,0,70,26,5,33,28,0,15,70,35,16,23,68,8,77,27,71,7,0,21,11,8,12,28,18,17,15,10,30,10,0,0,24,12,18,25,10,9,18,35,27,9,10,38,18,25,0,0,20,24,14,29,7,0,53,20,19,14,86,0,21,19,40,31,0,25,16,87,22,59,26,73,21,0,13,75,0,52
"2006-04-01",9,0,53,0,27,76,67,0,64,0,71,81,80,62,17,22,15,0,0,10,49,71,17,77,24,"0",60,66,63,87,71,68,16,49,30,36,38,38,57,42,83,47,10,69,33,0,0,65,61,18,18,0,6,74,15,0,29,41,76,23,13,61,20,0,65,35,83,29,10,4,15,0,0,21,11,24,76,15,15,0,36,13,6,19,22,73,8,0,5,44,68,79,56,26,30,0,4,45,54,0,16,27,64,23,62,1,33,16,51,0,0,70,0,0,43,0,22,27,0,0,43,21,13,0,9,0,75,17,13,62,48,72,17,78,0,78,61,0,16,60,49,86,72,0,0,83,0,26,71,85,0,63,0,7,36,29,31,18,63,25,13,23,75,13,60,40,73,0,0,0,27,17,18,32,0,14,23,27,16,10,12,8,8,5,19,27,23,7,4,31,5,10,18,0,38,13,26,49,35,30,16,35,22,0,14,21,20,29,75,0,16,0,38,31,28,24,33,73,12,42,18,68,0,24,19,73,0,33
"2006-05-01",8,0,61,16,8,76,60,0,88,9,69,78,74,69,21,26,14,0,0,9,71,75,23,84,24,"0",71,62,73,89,87,40,8,46,31,19,43,42,58,56,76,48,26,67,31,0,0,57,59,14,18,5,9,82,10,0,0,68,69,51,6,45,19,12,33,0,88,16,14,0,11,0,0,21,15,19,67,14,14,0,41,4,16,16,13,75,31,9,10,38,65,78,56,0,19,0,4,43,62,33,15,38,69,22,0,2,0,20,0,0,0,53,0,41,27,0,0,19,39,60,39,13,15,12,11,0,51,8,15,44,52,14,14,81,24,82,61,0,23,61,57,84,74,0,0,85,40,0,49,87,0,62,0,8,32,0,0,13,68,47,16,20,69,7,70,11,69,7,0,21,22,0,23,27,35,15,30,30,23,11,12,3,21,12,8,24,12,10,4,29,13,14,14,15,18,12,25,31,40,24,15,25,14,0,26,40,19,27,72,0,0,19,24,30,0,19,32,78,22,20,25,72,0,22,8,62,29,15
"2006-06-01",14,0,75,0,22,74,65,0,84,10,58,79,70,73,22,19,18,48,0,15,47,65,35,73,25,"<1",78,67,61,86,80,66,12,0,10,15,35,39,49,49,81,53,14,71,33,0,0,47,47,18,23,0,13,61,9,0,29,31,60,50,14,0,21,0,47,0,70,25,4,0,30,0,0,22,8,32,60,0,12,0,42,7,12,14,18,52,41,0,18,38,55,77,64,26,20,0,0,0,60,47,17,59,74,23,0,5,67,18,0,0,0,63,32,0,20,0,23,7,41,32,50,14,24,0,12,0,53,17,17,39,56,0,17,79,17,65,61,0,16,61,47,81,78,0,0,85,42,53,72,88,0,52,28,8,33,0,0,11,62,25,15,19,71,11,70,23,75,15,0,22,24,9,37,24,28,16,16,32,32,11,25,8,13,11,13,24,29,12,12,9,19,10,18,0,38,13,0,0,0,14,13,17,15,0,28,22,19,0,67,0,11,0,13,18,28,20,0,77,16,0,0,83,0,24,15,64,0,55
"2006-07-01",13,0,56,32,52,77,68,0,79,10,62,83,71,57,16,22,5,0,0,10,54,48,31,73,25,"0",62,54,55,84,74,60,10,0,9,12,35,36,63,39,72,55,30,62,24,0,0,53,62,7,26,0,22,52,24,0,57,20,50,53,10,33,0,24,32,0,62,16,11,0,25,0,0,17,16,27,52,15,14,0,37,6,6,13,27,66,8,5,18,42,53,76,65,0,19,0,4,44,64,0,32,79,72,0,60,2,0,24,25,0,0,61,0,21,11,0,22,10,0,31,29,0,24,0,15,0,45,8,16,41,55,14,13,85,17,75,49,0,0,48,55,79,75,0,0,81,41,0,74,86,0,39,0,7,33,0,0,21,54,49,26,20,67,12,71,11,75,7,0,11,8,17,12,23,18,15,30,10,47,11,37,4,7,6,25,19,19,14,8,21,5,10,7,0,18,0,26,32,21,14,10,16,15,0,14,21,21,0,63,0,11,20,11,14,0,16,0,68,15,20,9,83,0,0,16,53,0,59
"2006-08-01",11,0,59,29,16,80,75,19,69,9,56,89,73,68,0,17,14,0,0,13,54,72,12,89,19,"0",70,71,52,94,72,61,14,0,11,16,61,27,46,51,72,47,27,68,22,0,0,52,68,10,26,0,17,62,4,0,26,18,41,24,6,18,27,0,63,0,84,0,10,0,23,0,0,24,21,25,60,13,16,0,36,8,0,15,23,56,22,0,18,38,63,79,74,0,26,0,0,0,43,0,29,64,76,20,0,3,30,19,0,0,0,75,0,19,15,0,20,6,27,28,41,37,20,11,14,0,71,15,18,44,63,0,15,86,15,84,60,0,0,51,72,84,70,0,0,88,0,0,51,90,0,52,0,8,35,26,0,12,61,0,22,8,64,11,81,30,73,13,0,0,10,8,16,22,17,15,21,24,14,12,11,8,7,13,17,21,20,9,7,14,13,9,10,14,17,0,23,29,0,14,7,15,13,0,12,19,20,0,75,36,0,18,7,22,25,27,15,93,24,0,8,77,0,0,16,47,0,63
"2006-09-01",11,0,49,36,20,77,76,0,75,13,53,87,75,71,15,17,18,0,0,9,69,65,12,70,17,"<1",64,68,60,82,66,40,7,22,29,21,43,31,42,56,73,60,12,69,25,0,0,71,55,6,18,0,24,54,8,0,26,18,55,44,6,60,18,0,51,0,82,11,3,0,33,0,0,21,14,29,59,40,10,0,33,8,15,12,27,99,36,8,13,30,68,77,64,23,0,0,8,0,50,21,0,51,68,20,0,4,29,16,0,0,0,60,0,0,33,0,0,6,18,0,37,12,13,11,12,0,64,15,14,48,56,38,14,77,15,73,65,0,29,77,68,84,69,0,0,81,0,23,59,82,0,60,0,3,31,26,0,24,63,0,19,12,66,9,61,30,65,7,0,0,14,8,0,19,0,14,55,19,21,11,11,4,16,7,17,19,20,9,7,16,12,13,6,29,17,0,0,87,19,22,13,24,13,0,50,19,19,0,76,36,0,18,31,28,0,17,0,81,17,37,8,69,39,0,13,54,0,73
"2006-10-01",9,0,64,13,18,79,77,0,77,12,52,88,80,75,14,20,14,40,0,20,51,59,14,67,23,"<1",62,61,64,81,69,50,12,41,27,18,36,33,39,40,73,52,31,67,27,0,0,50,73,24,21,0,33,66,20,0,0,33,38,33,8,44,17,31,70,0,79,7,11,0,12,0,0,15,17,24,54,12,15,0,47,12,14,15,27,93,61,8,17,33,49,77,56,22,32,0,4,36,61,19,13,52,65,19,0,5,0,16,0,43,0,52,0,18,18,42,36,11,50,25,51,11,18,0,15,0,51,21,20,68,60,12,14,73,28,71,49,0,26,71,48,82,67,0,0,80,0,21,82,83,0,65,23,7,37,0,0,14,57,21,22,17,57,7,69,9,67,12,0,9,13,7,15,28,15,16,26,26,13,12,10,6,25,9,24,23,15,6,13,30,15,20,24,13,31,33,0,81,17,26,12,26,12,0,40,35,20,12,65,0,18,17,23,28,22,26,14,72,23,17,0,62,0,0,19,44,0,50
"2006-11-01",11,0,54,26,22,72,79,0,57,16,44,79,75,65,13,20,10,0,0,8,39,55,17,69,19,"0",62,52,61,79,46,50,14,40,23,24,30,35,33,48,70,45,19,60,30,0,0,50,56,23,18,0,30,55,11,0,24,0,24,52,14,44,0,10,37,0,71,23,8,2,30,0,0,15,9,23,55,0,13,0,40,7,9,20,34,46,39,4,9,31,53,75,58,0,0,0,4,37,55,37,20,40,53,37,0,3,27,18,0,21,13,48,25,18,30,0,18,8,33,25,50,22,17,10,16,0,42,14,15,55,50,0,17,68,27,59,59,0,0,58,22,69,46,0,0,72,34,0,54,79,0,58,0,4,34,0,25,13,53,20,27,18,60,9,57,23,53,9,0,18,19,18,10,25,0,19,13,26,26,12,10,8,12,11,21,24,25,10,19,32,8,24,23,13,0,0,0,26,6,25,10,30,18,0,0,0,20,23,56,0,0,32,28,22,23,28,14,68,16,34,0,56,0,0,13,56,0,53
"2006-12-01",13,0,36,0,18,68,52,0,45,4,37,68,62,54,14,22,4,0,0,8,29,51,11,66,18,"0",52,54,49,73,66,37,9,20,16,18,26,26,38,28,55,41,22,53,17,0,0,46,42,18,20,8,23,59,15,0,24,17,16,15,11,11,0,0,47,28,60,10,11,0,12,18,0,18,11,33,44,25,19,0,34,7,5,15,21,67,20,12,13,34,50,62,57,22,24,0,0,0,54,19,13,40,59,19,51,2,27,22,0,0,10,58,0,0,21,0,19,11,34,26,30,23,23,10,15,0,30,21,19,48,36,12,17,59,0,51,42,0,0,59,33,60,42,0,0,56,0,22,59,75,0,40,0,7,34,0,0,12,44,21,12,20,63,10,47,14,57,9,0,9,19,21,0,27,15,14,26,9,26,13,10,4,14,10,26,24,20,10,6,28,4,20,18,13,0,0,0,27,6,20,8,21,12,0,29,35,21,24,58,34,9,16,32,19,23,24,27,59,22,17,7,53,0,0,20,36,0,31
"2007-01-01",15,0,64,30,10,81,74,16,97,14,67,81,76,69,16,27,20,0,0,22,44,69,28,90,32,"1",79,78,63,91,63,57,18,0,14,22,48,37,60,53,79,48,15,72,53,0,0,59,51,29,30,0,34,62,23,24,21,15,45,23,24,10,15,18,64,25,78,15,15,0,19,16,0,26,31,45,74,16,29,0,47,6,4,13,22,63,30,7,37,34,75,79,69,0,0,0,6,33,50,0,0,46,84,25,44,6,48,26,19,19,0,69,46,16,19,0,16,15,15,23,55,0,24,13,17,0,63,12,26,51,69,31,25,82,18,73,63,0,12,70,78,89,70,30,0,90,30,19,100,88,0,64,20,8,49,0,0,23,65,18,27,20,69,14,72,12,68,16,0,16,9,9,0,27,34,22,45,23,35,16,9,11,18,8,18,29,33,13,23,31,17,11,29,0,27,9,19,0,10,22,19,24,16,12,10,31,26,21,76,0,12,29,19,25,0,26,37,91,23,15,0,85,0,17,24,73,0,71
"2007-02-01",12,0,69,13,20,80,67,0,76,8,72,82,76,69,17,22,12,0,0,15,57,65,27,70,22,"1",65,60,51,82,60,42,18,38,24,19,50,31,63,74,79,31,29,67,22,40,0,62,67,22,24,11,30,52,14,0,22,31,39,42,13,26,16,38,42,0,85,16,12,0,26,0,0,18,16,45,58,0,25,0,37,7,0,14,31,62,37,7,17,37,57,76,56,40,15,0,3,0,72,18,13,24,74,0,47,6,0,16,0,20,6,43,24,16,36,0,34,8,31,24,52,21,25,9,16,0,80,7,20,46,64,55,20,74,13,72,59,0,12,73,69,84,68,0,0,88,32,0,69,85,0,58,0,5,37,22,24,13,52,19,14,26,67,8,63,13,68,17,0,17,12,13,14,29,36,14,24,20,30,14,24,4,13,9,13,21,16,12,9,38,11,8,22,49,14,0,40,0,22,18,18,23,11,0,11,16,22,33,67,0,12,15,25,24,21,27,39,78,18,32,21,71,0,0,18,61,0,50
"2007-03-01",17,0,55,11,12,82,68,0,75,14,58,84,75,67,0,21,10,0,0,14,66,51,12,72,22,"<1",69,63,64,83,72,56,11,17,19,16,37,49,51,46,78,39,26,64,17,0,0,68,60,20,28,0,30,59,17,0,20,35,30,28,7,46,14,17,54,24,82,11,9,1,20,0,0,24,11,26,51,10,19,0,36,9,8,13,28,94,17,0,16,44,65,76,66,0,14,0,0,31,69,16,17,55,70,16,0,5,0,22,0,18,5,68,22,0,27,0,15,16,28,22,60,0,22,8,16,0,80,0,19,66,50,0,16,77,23,72,65,0,11,52,60,83,68,0,0,83,0,18,33,85,0,62,19,7,37,20,0,15,60,34,21,27,58,12,64,12,68,16,0,30,27,9,25,26,26,18,11,22,16,15,0,6,14,13,17,21,20,12,27,21,3,14,20,11,19,9,27,23,34,22,13,22,5,0,19,22,20,10,70,0,7,21,35,23,19,27,12,72,16,14,6,68,15,0,17,68,0,38
"2007-04-01",15,0,55,23,13,79,69,0,68,10,68,84,79,69,11,20,23,34,0,7,50,54,14,77,21,"1",67,65,58,85,71,72,12,17,20,20,40,33,43,51,76,42,14,68,45,37,0,47,67,15,27,7,27,63,26,0,30,50,43,35,12,42,28,26,40,24,76,17,12,0,33,0,0,18,13,31,63,10,18,0,44,9,4,14,24,75,40,13,18,34,59,76,56,18,14,0,3,31,38,16,11,34,69,16,0,4,23,19,18,18,6,75,44,0,25,37,0,19,14,22,59,9,22,0,17,0,75,12,23,60,54,10,19,75,35,69,64,0,11,58,64,83,64,0,0,81,0,37,83,86,0,58,19,8,35,0,0,13,53,52,29,16,73,13,63,24,70,0,0,0,11,12,8,23,19,19,27,30,22,15,9,8,10,12,14,26,20,13,14,28,23,7,15,11,19,9,36,22,20,24,19,27,11,0,29,30,22,30,70,0,22,14,35,30,0,16,12,76,5,36,13,68,0,17,16,66,0,57
"2007-05-01",12,0,59,10,25,75,69,0,99,16,72,82,74,72,10,20,14,30,0,16,41,55,18,77,19,"1",61,59,58,86,75,55,13,31,16,15,43,34,46,41,76,51,24,65,28,0,0,61,57,14,23,0,33,62,18,0,37,26,43,11,19,26,13,16,42,22,86,16,5,0,12,0,0,23,5,23,54,10,19,0,38,4,4,9,27,65,36,12,15,37,63,77,57,0,12,0,6,0,59,22,21,43,72,14,0,6,31,15,33,16,0,56,0,27,23,0,0,13,13,20,50,9,19,8,14,0,60,21,15,46,69,9,12,72,32,81,62,0,20,62,78,84,62,0,0,86,26,16,36,87,0,55,17,7,30,0,0,13,58,0,18,16,64,18,63,18,67,5,0,7,20,5,23,25,12,16,20,24,25,15,16,6,16,12,28,26,26,11,10,19,15,19,14,0,12,0,0,20,18,24,12,22,5,10,31,0,20,18,70,0,7,25,30,30,18,24,0,80,27,13,6,74,14,15,13,62,0,42
"2007-06-01",12,0,81,11,33,74,74,0,81,7,66,85,73,69,11,28,10,32,0,13,51,53,21,70,19,"2",72,61,55,81,81,64,16,33,15,15,38,38,41,50,77,49,32,66,44,0,0,56,60,7,26,0,40,69,29,0,30,21,66,34,11,27,0,25,54,70,68,17,8,0,23,0,0,14,25,35,53,0,18,6,36,3,8,14,30,61,71,13,24,42,50,77,67,53,40,18,3,46,60,0,11,36,75,15,0,3,0,18,26,0,5,55,0,0,18,35,0,14,0,0,34,23,24,33,14,0,68,17,18,40,54,19,16,87,11,65,62,0,11,71,79,78,67,0,0,88,0,36,48,87,0,58,19,4,33,0,0,13,52,17,20,19,57,11,67,12,75,5,0,19,13,6,21,24,25,20,26,14,27,16,34,5,8,8,19,23,26,15,8,19,6,10,7,11,25,0,18,0,5,17,13,17,10,0,14,29,21,39,66,0,15,0,24,15,38,24,11,69,13,0,12,80,15,0,13,72,0,48
"2007-07-01",19,0,64,21,23,76,70,0,89,16,63,86,78,66,25,22,18,62,0,16,44,68,13,71,16,"5",68,59,53,81,56,50,17,16,11,12,35,36,36,47,79,48,44,63,24,0,0,48,54,14,30,13,35,67,16,0,75,13,31,44,13,13,26,48,78,0,61,8,10,0,24,0,23,20,21,28,52,10,20,6,41,6,4,8,25,49,21,12,25,41,51,78,63,17,38,0,4,0,53,22,21,49,79,15,39,2,21,25,0,17,10,63,0,14,24,34,0,13,13,0,48,18,25,8,17,0,54,5,21,41,64,14,21,83,22,76,59,8,10,65,79,80,75,0,0,80,0,34,61,90,0,56,18,5,38,28,0,17,51,0,22,17,67,14,69,7,71,7,0,7,5,6,12,23,30,16,30,10,31,18,8,5,11,7,26,26,30,9,8,10,12,6,14,31,12,17,17,21,18,17,10,16,10,11,9,27,22,9,72,0,14,13,18,15,18,19,22,72,20,40,23,86,42,15,14,62,20,39
"2007-08-01",17,0,59,25,17,77,69,0,78,9,53,87,75,68,10,28,14,0,7,15,58,68,19,87,20,"6",69,71,73,95,63,52,17,0,17,14,63,39,39,50,80,44,33,71,30,0,0,54,62,11,30,12,40,57,26,0,27,12,43,53,25,8,13,15,44,0,87,20,6,2,23,0,0,24,16,29,60,9,17,0,43,9,0,11,41,62,20,6,19,24,52,77,69,0,18,0,3,28,56,21,20,42,73,0,0,4,0,22,16,16,10,72,0,13,17,0,14,12,25,19,58,13,24,11,15,0,67,16,18,59,67,18,18,84,21,75,64,0,10,62,74,84,73,25,0,84,26,16,67,91,0,59,0,4,34,18,0,17,61,15,13,19,73,15,71,7,76,18,0,20,24,16,7,25,0,17,38,16,24,18,8,8,12,17,20,25,27,13,14,13,6,9,11,15,11,0,16,20,17,17,14,16,9,0,17,0,21,18,77,0,7,12,27,20,17,24,21,80,10,13,11,75,13,0,15,63,0,54
"2007-09-01",16,0,57,10,33,79,78,0,99,15,57,87,83,65,17,27,14,0,0,15,54,65,26,68,22,"6",64,69,62,83,73,60,17,30,21,16,46,38,41,35,67,38,15,65,23,0,0,48,62,18,24,15,39,64,29,0,27,13,37,22,8,17,37,8,69,0,80,15,8,2,30,0,0,22,20,23,50,14,23,5,38,9,11,12,39,73,15,9,19,34,61,76,58,16,24,0,0,28,52,14,30,52,69,35,38,9,41,18,16,16,12,66,0,13,32,0,14,12,13,19,42,0,22,0,19,0,59,5,17,57,70,0,18,77,10,64,66,0,10,78,69,85,79,0,0,90,26,32,67,86,22,61,0,8,30,18,0,19,55,0,18,16,75,11,66,28,70,9,0,10,14,13,30,26,11,18,38,20,19,17,0,7,5,12,32,26,22,14,14,32,14,9,18,20,34,0,16,0,26,26,17,24,14,0,26,13,21,9,77,25,17,12,37,31,34,26,21,79,22,26,28,68,13,15,11,56,19,50
"2007-10-01",17,0,63,27,12,75,68,0,68,11,46,83,82,67,30,34,26,0,0,13,28,71,36,61,23,"9",67,58,57,76,56,65,15,26,28,23,36,42,42,38,74,48,20,64,31,29,0,47,58,19,29,13,42,67,24,0,71,28,43,44,7,18,17,20,51,19,77,11,9,2,14,0,0,19,19,27,54,8,21,5,37,9,15,19,39,57,17,8,19,46,62,78,68,14,11,15,5,0,75,31,9,46,73,12,33,15,18,19,0,14,9,50,34,0,40,0,12,11,0,17,41,11,21,20,16,0,49,28,22,55,63,16,19,74,9,68,57,0,13,66,72,82,61,0,0,78,23,21,59,86,20,67,15,5,36,0,0,17,55,40,25,21,73,12,66,21,65,12,0,9,19,7,10,24,10,16,21,29,21,16,27,8,15,15,23,29,15,15,19,22,33,16,19,13,20,7,14,18,15,25,11,25,4,9,23,12,22,23,74,0,12,11,27,26,15,22,18,73,21,23,29,62,12,0,12,57,17,47
